blog_title,description,blog_id,tags,exam,read_time
What is RPA and How it Works...," Integration is crucial from the perspective of JEE, Boards as well as in Engineering. It has a wide range of applications in Physics, Mathematics and many other fields. Hence it is quite important to understand the key concepts on Integration and then memorizing the formulas for the purpose of the competitive examinations. Students often blindly memorize the formula but later face difficulties in solving advanced or tricky questions. Some More Heading Here DO NOT make the mistake of ignoring NCERT Mathematics. Start with the theory of NCERT and understand the different theorems of integration along with their proofs. After covering this, you can move to solving the problems in NCERT. This practice would reinforce what you just learnt. It would take some time but it is very essential. Some More Heading Here DO NOT make the mistake of ignoring NCERT Mathematics. Start with the theory of NCERT and understand the different theorems of integration along with their proofs. After covering this, you can move to solving the problems in NCERT. This practice would reinforce what you just learnt. It would take some time but it is very essential.DO NOT make the mistake of ignoring NCERT Mathematics. Start with the theory of NCERT and understand the different theorems of integration along with their proofs. After covering this, you can move to solving the problems in NCERT. This practice would reinforce what you just learnt. It would take some time but it is very essential.",1,"integration, is, crucial",JEE,1
How to handle pressure during any exam?,"Handling pressure in any exam is very crucial and difficult. No one is calm enough to take the exam pressure easily. In pressure, the performance of the individual can be affected. So there is a need, to handle the pressure during any exam. For decades, it has been a problem for everyone to perform in the pressure and very few can handle it, similarly, it happens in the exam. There are various methods and techniques to calm you during exams, but the best strategy is revision. We will discuss it later because first, we need to understand how pressure affects our performance and the factors causing pressure during the exam. We have learned about pressure in chemistry, as the pressure increases the temperature of the system also increases. Hence when we are under pressure, we lose our temperament and due to this our decision taking ability decreases. We could not recall what we have studied, we could not even understand what examiner is asking and this thing is enough to understand how pressure affects our performance. The factors which cause pressure are  Lack of Preparation: Lack of preparation creates anxiety during an exam. This creates pressure on us and we could not even recall what we have studied earlier. So preparation is necessary before giving any exam. Lack of Information: We should know about the exam pattern. Many students do not know about the scheme of the paper. The knowing pattern helps us to plan our studies which are directly related to our performance. Lack of Revision: It is the most important factor during any preparation, the lack of revision causes stress and affects performance. The revision enhances memory capacity and boosts our performance. Various strategies can be followed during preparation and this exam pressure can be handled with the help of this stategy.  The top 3 strategies are given in the video, which will help you in handling the exam pressure.  ",2,"handling, pressure, in",JEE,1
How to prepare for JEE at this stage,"From now onwards, approx. 2 months are left for the JEE exam. And if you are in class 12th then merely 1 month is left for preparation of JEE because there will be boards in March. So the question is how to prepare for JEE at this stage. Learning a new concept will take stock of time therefore at this stage try to revise older concepts. For revision NCERT is the best book and if time permits then you can also try NCERT Exemplar. Try to revise as much as possible and practice previous year questions because the question may not be repeated but the concept does. The basic formulas should be by-hearted as the exam needs time management. Negative marking plays a key role in the rank of an individual and that is why consistency in practice is needed. Proper planning is needed for preparation; you can plan daily which is very useful in achieving bigger targets. Planning takes about 5 to 10 minutes but it is very beneficial in the exam. It is the most crucial time in the preparation and you have to use every single penny of time. You cannot afford any distractions and try to avoid late-night parties. Although preparation is necessary for the exam but in the planning of preparation, some mood freshening elements should be there. Try to sit for at least two hours and then take a break of half an hour. It is the most effective formula for me, during my preparation and so it could help you. During the break try to do some activity or exercise and do not use mobile phones because it gives stress to your eyes which are already tried due to long studying hours. The preparation strategy can be changed daily. In late February you should start preparing for the boards and during this, also try to revise concepts of PCM as the syllabus for JEE Mains is almost similar to the 12th exam. For droppers, it is the bonus time to improve their rank as the 12th students are busy on their boards. Their strategy is quite simple that they have to prepare only for JEE and use maximum possible time. Students, please try to sleep for at least 8 hours per day as it is very necessary to rest our brain. This was our point of view. What is your preparation strategy?    ",3,"from, now, onwards,",JEE,1
Why motivation is necessary during any preparation?,"While studying we distract a lot, it may be due to some personal reason or due to social media. Technology is made for our benefits but somewhere it distracts us from our path. It has both pros and cons and it depends on us how we use it. Many have noticed that while reading books we can easily turn ourselves towards our cell phones or laptops because learning is a difficult process and the most important thing is that it takes time but if we somehow motivate ourselves then the miracle can happen. Motivation boosts our energy and focuses our vision towards the aim. Motivation helps us to improve our efficiency and learning capacity. It acts as a fuel for our brain and some people need it regularly and it varies person to person. We have seen the athlete during their workout. They listen to music which is having high bass and volume because it pumps out the energy into muscles and acts as a motivation towards their goal. Similarly, our brain consists of muscles that need the energy to keep the activity on track. Therefore motivation is needed during any preparation whether academic or personal. Tell us about your motivation secrets. ",4,"while, studying, we",JEE,1
Last-Minute tips for the Maths Board Paper," From the previous exams, students got to know the importance of the previous year's question paper. We can see the pattern of the paper and notice that many questions got repeated. That is why it is the most important tip that students should solve the previous year paper with sincerity and focus.  NCERT is the most important book for both Boards and JEE. It consists of various concepts, though it is difficult to understand it in such a short period. So it is advisable to solve full-length model paper which is much easier to revise the whole syllabus. Derivations are the most important thing during Maths paper and you must practice it well otherwise, it will take a whole lot of time to derive it, in the exam. Many short notes are available in both the market and the internet and it is best, for now, to get the whole syllabus revised through it.  Don't sacrifice your sleep with your studies. You must take a nap for 8 hours a day because it boosts our energy and focuses our studies to our aim. Lack of sleep affects our performance and leads to unnecessary stresses which we must avoid during our exam. Last but not least, your handwriting affects your marks. Students have the habit to solve maths like they are doing their rough work. The answer sheet should be neat and clean for that you can make a separate space to do rough work. Step marking is there, so you should write proper steps to simplify your answer and picking up some marks.            ALL THE BEST ",5,"from, the, previous",JEE,1
Last month preparation for JEE Mains/ NEET,"We know that you heard about it many times but, we are hoping this is for the last time. As the strategy will remain the same for both of the exams, so will discuss it combinedly.   Proper Time Table: The important thing during any exam is by preparing consistently. Following a proper time table also increases our productivity and resolves our time-related issues.  Revision is the key: Entrance exams are not about completing the syllabus, it is about how well you know about the subject. This thing can be achieved by doing a proper revision(at least 2-3 times is required).  PYQP: Previous year question paper is as much important as the revision because it helps you to understand the pattern of the paper. It helps you to recognize your weaker area or stronger area and then you can work out with that.  Proper sleep: Relaxation is needed for our brain, so at least 7 hours of sleep is compulsory for you. It is the time when your brain cells heal themselves. So, dude go for proper sleep.      ",6,"we, know, that",JEE,1
What to choose? Good College or Good Branch?,"After JEE advance, the most prevailing question among students during Josaa counseling 2020 is whether to select a good college with a bad stream or bad stream with a good college. If they have to make a decision in pursuing particular graduation like B. Tech or any other course, then finding the desired branch in a good college is difficult. However, if anyhow student even manages to find their dream branch but getting it in the top college may not be the case. In this scenario of college predictor during Josaa counseling, the student must keep these points in mind: First, if a student selects a good college then selecting a good branch in a college is just a part of their journey in college. If they are going to a reputed college in whichever branch, they become a part of their alumni network spread all over the world (which itself is a big thing), the more reputed is the college, more strong is the network. Also, the experience of the faculties come into play. The faculties go through rigorous training in a reputed college in order to maintain the quality of delivery and ranking etc. But now in this growing era some workforce organizations, researchers, and regional civic leaders are pushing back — persuading companies to look beyond academic credentials and to instead hire people based on their skills. A growing number of businesses are listening. In the past few years, Apple, Google, IBM, and other high-profile companies have stripped the bachelor's degree requirement from many of their positions. Finding something that you're passionate about can improve your performance. To know one's passion, the student should a list of a few work types that are a combination of his skills, characteristics, and passions. Then he needs to refine two or three of the strongest areas of your competence and be true to those competencies. Now he needs to connect to the people who are already doing the job he wants to do. It will give an idea of the work nature and boost his confidence in doing the same job. Student needs to see beyond the 4 years. His choice needs to be aligned with his future because after 4-5 years his major time of life will be dedicated to that job. If the job aligns with his passion, he can be an expert in that field, if not, then he will always end up being mediocre. Selecting a branch of a student's interest can add up to his personal and professional life both.  Preferred stream' is for what he can relate to, and develop skills in. There is no 'wrong' decision in this, as one gets a job based on what skills one has acquired/developed proactively - beyond the college education. ",7,"after, jee, advance,",JEE,2
What to do after JEE Advanced or JEE Mains ?,"The next big question after jee advanced 2020 result is what next? If you cleared the exam then the selection of a branch is also a big decision. Students get confused about what IIT college Counseling and JEE college predictor is. Whether to take good branches in NIT or an average in IIT. Students should select their branches according to their interests. There is no dearth in the number of Job opportunities for IIT graduations in India. But this career choice is for LifeTime. You should not only check the monetary advantage but also other scope and exposure related to a specific branch.  But the big question is what if you didn't clear JEE mains 2020 or Jee advanced 2020?  As per the estimated data, there are approx. 1.5 Million Engineering Aspirants in India and amongst them, 1.2 Million candidates aspire for IIT JEE Exam while keeping an aim to get into IITs. So not all get the chance to enter IIT's and NIT""s. But there are lot many private colleges in India that accept JEE Mains Scores. If you don't get a seat in any NITs, IIITs, or GFTIs, then you may go for these colleges as they are truly luxurious and best suited with the IITs and NITs standards. Some of the private colleges are - Amity University, Thapar University, Birla Institute of Technology, Shiv Nadar University, Lovely Professional University. On the other hand, the student should not forget that though JEE is the most popular Entrance Exam in India, but the candidates must not under-estimate the other Engineering Exams that hold the worth of National Importance too. Apart from the National Level, there are lot many State Level & University Level Exams. Also when we didn't a clear exam, Sometimes we may overlook the biggest signs that a certain career path is not meant for us. An inability to score well despite giving it your all, or a lack of interest in the subjects, being some. The first step is to open up your mind to possibilities. There are hundreds of career options out there, with an immense number of opportunities and avenues to explore. And yes, they are as lucrative as engineering, if not more. Be it Law, Management, Psychology, or even something upcoming like Social Media Marketing, the possibilities are endless. Explore as many options as you can to find out what lies out there. Although If you still feel that engineering is in your blood and soul, and there is no other career you would rather pursue, then consider taking a drop year. However, your reasons have to be logical and strong. Only because you feel you can clear an exam does not mean you will. Many students take a year drop without vision, only to end up wasting an additional year of their lives. Realistically evaluate your chances of clearing the JEE exam if you do take the drop. ",8,"the, next, big",JEE,2
"JoSAA Counselling 2020 - Dates, Registration (Started), Choice Filling","Through JoSAA, Admissions to NITs, IITs, and GFTIs are based on the ranks acquired by students in JEE Mains while admissions to the premier IITs are done based on candidate’s performance JEE Advanced.  The registration process for Joint Seat Allocation Authority (JoSAA) 2020 has been started from October 6 (12 noon) at josaa.nic.in. Candidates who have qualified for JEE Main have to log in using their Main registration number and password while candidates who qualified for JEE Advanced have to log in using their Main registration number and Advanced password. The detailed schedule for JoSAA 2020 has been released. Only those students who have qualified JEE Main/JEE Advanced are eligible for JoSAA 2020 registration and choice filling. JOSAA Important Dates 2020      Events Dates    JoSAA registration starts   October 6, 2020     First mock seat allocation   October 12, 2020     Last date of registration and choice filling for JoSAA counselling   October 15, 2020     Reconciliation of data, verification and validation of allocated seats   October 16, 2020     First round of seat allocation   October 17, 2020     Online reporting for round 1   October 17 to 19, 2020     Display of vacant seats in round 1 and second round of seat allocation   October 21, 2020     Online reporting for round 2   October 22 to 23, 2020     Withdrawal of seats   October 22 to 24, 2020     Display of vacant seats in round 2 and third round of seat allocation   October 26, 2020     Online reporting for round 3   October 27 to 28, 2020     Withdrawal of seats   October 27 to 29, 2020     Display of vacant seats in round 3 and fourth round of seat allocation   October 30, 2020     Online reporting for round 4   October 31 to November 1, 2020     Withdrawal of seats   October 31 to November 2, 2020     Display of vacant seats in round 4 and fifth round of seat allocation   November 3, 2020     Online reporting for round 5   November 4 to 5, 2020`     Notification of the decision on seat confirmation for Round 5   November 6, 2020     Display of vacant seats in round 5 and sixth round of seat allocation   November 7, 2020     Online reporting and final round for IITs   November 8, 2020     Further admission process   November 9 to 13       Who can participate in Joint Seat Allocation/JoSAA Counselling? Criterion I - Qualified in JEE Advanced 2020 for academic programs [excluding the preparatory courses] at IITs and ISM and satisfies the “Performance in Class XII (or equivalent) examination”  Criterion II -  Qualified in JEE Advanced 2020 for preparatory courses at IITs and ISM and satisfies the “Performance in Class XII (or equivalent) examination” Criterion III – Secured a rank in JEE Main 2020 Paper-1 for BE/BTech Programs at NITs, IIEST, IIITs, and Other-GFTIs. AND Must have passed Class XII (or equivalent) examination* with Physics and Mathematics as compulsory subjects along with one of the Chemistry/Biotechnology/Biology/Technical Vocational subject. Further, the candidates should have passed each of the subjects individually. Criterion IV –    Secured a rank in JEE Main 2020 Paper-2 for BArch/BPlanning programs at NITs, IIEST, IIITs, and Other-GFTIs. AND has Mathematics as one of the subjects in Class XII (or equivalent) examination* AND should have passed each of the subjects individually.  In the registration process, after completing the registration, candidates have to fill choices of institutes and courses in which admission is desired as per their preference.   JoSAA Choice Filling Process 2020 Before going for JoSAA Registration & Choice Filling 2020, the candidates need to read the process carefully. Every student will be allowed for JoSAA Choice Filling 2020 only once. Thus, the students must take the utmost care while filling their choice of preference for admission. The candidates can fill as many choices as available to them according to their rank. The choice filling must be done in the order of priority which means you have to give the first priority to the college/ course which you want the most and so on. Choice Locking - After the JoSAA choice filling is completed, the candidates will have to lock their choices before the final date. In case any candidate fails to lock the choices, the choices made will be automatically submitted on the final date.  Students who complete the JoSAA registration and choice filling within the specified dates will be considered for seat allotment. Seats will be allotted through centralized counseling based on ranks in JEE Main/ JEE Advanced. ",9,"through, josaa,, admissions",JEE,3
Things to remember while choice filling in JoSAA Counselling 2020,"You need to fill JOSSA as carefully as you can.  If you have got a great rank but still you messed up your choice filling, documents verification, chances are that the one who lagged behind you might get a better choice. Firstly if you're not sure about your interest in a particular branch, you should go through the course structure of all the branches and see which subjects interest you. You should also do take care of:-  Rankings- Please don't pay heed to any sort of rankings, be it by NIRF or by any other body. The rankings given are pretty misleading and will only confuse you (Eg- VIT above IIT-BHU) General Mistake-Keep yourself updated. Check the site as regularly as you can and only see the authentic website, i.eJoSAA Placement Statistics- If your main aim is getting a job, check the placement data of the institutes for the last few years, focusing on the average package and the companies visiting for recruitment.  How to check: Just google "" training and placement"". It will lead you to the placement records. Only trust the official college website for this. Another General Mistake- Don't tell your password to anyone. There are so many incidents of people complaining that their preferences have been shuffled. DONT TRUST ANYONE!  Age of institute/Branch- The older the college is, the better the alumni network and brand name it has. Similarly, the older a branch was started in the college, the more established it is in terms of faculty and placements. Batch- An often neglected but the important factor is the size of your batch, the teacher to student ratio, and the quality of faculty at an institution.  How to check: For batch size, search JoSAA Seat Matrix, For the latter, search "" faculty profile""  Campus and City- The infrastructure of the campus, the level of fests, type of extracurricular activities, and the city life, in general, should be taken into account  How many choices can you fill in JoSAA? The number of choices to be filled in JoSAAcounseling depends upon whether you did pass in JEE Advanced or not. Because, if you don't pass into JEE Advanced you'll have IIT's out of your options. IIT's take admission only through JEE Advanced. In case you fail JEE Advanced you can fill around 300–350 choices and if you've passed JEE Advanced the number is more than it. So, don't hesitate to fill more options. But be careful while filling the options as once they are filled these options cannot be changed and if you've allotted one college the options filled below that college get removed automatically and you'll get a college filled above it or the same. For example, you've filled IIT DELHI Electrical as option 10, IIT BOMBAY Electrical option 7, and IIT KHARAGPUR Electrical as option 11 and you've been allotted option 10 in the first round. Then in the next rounds, you cannot get options below 10. You can get allotted only between option 1 to 10. And rest of all the options are automatically removed. ",10,"you, need, to",JEE,2
